subdivision_native,subdivision_english,subdivision_type_native,subdivision_type_english,capital_native,capital_english,subdivision_code,parent_subdivision_native,parent_subdivision_english,parent_subdivision_type_native,parent_subdivision_type_english,parent_subdivision_code,map_target_ids
Almería,Almería,Provincia,Province,Almería,Almería,ES-AL,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path279
Cádiz,Cádiz,Provincia,Province,Cádiz,Cádiz,ES-CA,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path389
Córdoba,Córdoba,Provincia,Province,Córdoba,Córdoba,ES-CO,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path379
Granada,Granada,Provincia,Province,Granada,Granada,ES-GR,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path331
Huelva,Huelva,Provincia,Province,Huelva,Huelva,ES-H,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path401
Jaén,Jaén,Provincia,Province,Jaén,Jaén,ES-J,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,polygon333
Málaga,Málaga,Provincia,Province,Málaga,Málaga,ES-MA,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path369
Sevilla,Seville,Provincia,Province,Sevilla,Seville,ES-SE,Andalucía,Andalusia,Comunidad autónoma,Autonomous community,ES-AN,path393
Huesca,Huesca,Provincia,Province,Huesca,Huesca,ES-HU,Aragón,Aragon,Comunidad autónoma,Autonomous community,ES-AR,path243
Teruel,Teruel,Provincia,Province,Teruel,Teruel,ES-TE,Aragón,Aragon,Comunidad autónoma,Autonomous community,ES-AR,path255
Zaragoza,Zaragoza,Provincia,Province,Zaragoza,Zaragoza,ES-Z,Aragón,Aragon,Comunidad autónoma,Autonomous community,ES-AR,path257
Asturias,Asturias,Provincia,Province,Oviedo,Oviedo,ES-O,Asturias,Asturias,Comunidad autónoma,Autonomous community,ES-AS,polygon403
Islas Baleares / Illes Balears,Balearic Islands,Província,Province,Palma,Palma,ES-PM,Islas Baleares / Illes Balears,Balearic Islands,Comunitat autònoma,Autonomous community,ES-IB,polygon199;polygon205;polygon217;polygon221
Álava / Araba,Álava,Probintzia,Province,Vitoria-Gasteiz,Vitoria-Gasteiz,ES-VI,País Vasco / Euskadi,Basque Country,Autonomia erkidegoa,Autonomous community,ES-PV,path287
Vizcaya / Bizkaia,Biscay,Probintzia,Province,Bilbao / Bilbo,Bilbao,ES-BI,País Vasco / Euskadi,Basque Country,Autonomia erkidegoa,Autonomous community,ES-PV,path293
