#separator:Comma
#columns:sort_key,country_code,country_native,country_english,subdivision_native,subdivision_english,subdivision_type_native,subdivision_type_english,capital_native,capital_english,subdivision_code,map_image,map_filename
DEU_01_SUB1_001,DEU,Deutschland,Germany,Baden-Württemberg,,Land,State,Stuttgart,,DE-BW,"<img src=""gaz-deu-subdivision-bw.svg"" />",gaz-deu-subdivision-bw.svg
DEU_01_SUB1_002,DEU,Deutschland,Germany,Bayern,Bavaria,Freistaat,Free State,München,Munich,DE-BY,"<img src=""gaz-deu-subdivision-by.svg"" />",gaz-deu-subdivision-by.svg
DEU_01_SUB1_003,DEU,Deutschland,Germany,Berlin,,Land,State,Berlin,,DE-BE,"<img src=""gaz-deu-subdivision-be.svg"" />",gaz-deu-subdivision-be.svg
DEU_01_SUB1_004,DEU,Deutschland,Germany,Brandenburg,,Land,State,Potsdam,,DE-BB,"<img src=""gaz-deu-subdivision-bb.svg"" />",gaz-deu-subdivision-bb.svg
DEU_01_SUB1_005,DEU,Deutschland,Germany,Bremen,,Freie Hansestadt,Free Hanseatic City,Bremen,,DE-HB,"<img src=""gaz-deu-subdivision-hb.svg"" />",gaz-deu-subdivision-hb.svg
DEU_01_SUB1_006,DEU,Deutschland,Germany,Hamburg,,Freie und Hansestadt,Free and Hanseatic City,Hamburg,,DE-HH,"<img src=""gaz-deu-subdivision-hh.svg"" />",gaz-deu-subdivision-hh.svg
DEU_01_SUB1_007,DEU,Deutschland,Germany,Hessen,Hesse,Land,State,Wiesbaden,,DE-HE,"<img src=""gaz-deu-subdivision-he.svg"" />",gaz-deu-subdivision-he.svg
DEU_01_SUB1_008,DEU,Deutschland,Germany,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,Land,State,Schwerin,,DE-MV,"<img src=""gaz-deu-subdivision-mv.svg"" />",gaz-deu-subdivision-mv.svg
DEU_01_SUB1_009,DEU,Deutschland,Germany,Niedersachsen,Lower Saxony,Land,State,Hannover,Hanover,DE-NI,"<img src=""gaz-deu-subdivision-ni.svg"" />",gaz-deu-subdivision-ni.svg
DEU_01_SUB1_010,DEU,Deutschland,Germany,Nordrhein-Westfalen,North Rhine-Westphalia,Land,State,Düsseldorf,,DE-NW,"<img src=""gaz-deu-subdivision-nw.svg"" />",gaz-deu-subdivision-nw.svg
DEU_01_SUB1_011,DEU,Deutschland,Germany,Rheinland-Pfalz,Rhineland-Palatinate,Land,State,Mainz,,DE-RP,"<img src=""gaz-deu-subdivision-rp.svg"" />",gaz-deu-subdivision-rp.svg
DEU_01_SUB1_012,DEU,Deutschland,Germany,Saarland,,Land,State,Saarbrücken,,DE-SL,"<img src=""gaz-deu-subdivision-sl.svg"" />",gaz-deu-subdivision-sl.svg
DEU_01_SUB1_013,DEU,Deutschland,Germany,Sachsen,Saxony,Freistaat,Free State,Dresden,,DE-SN,"<img src=""gaz-deu-subdivision-sn.svg"" />",gaz-deu-subdivision-sn.svg
DEU_01_SUB1_014,DEU,Deutschland,Germany,Sachsen-Anhalt,Saxony-Anhalt,Land,State,Magdeburg,,DE-ST,"<img src=""gaz-deu-subdivision-st.svg"" />",gaz-deu-subdivision-st.svg
DEU_01_SUB1_015,DEU,Deutschland,Germany,Schleswig-Holstein,,Land,State,Kiel,,DE-SH,"<img src=""gaz-deu-subdivision-sh.svg"" />",gaz-deu-subdivision-sh.svg
DEU_01_SUB1_016,DEU,Deutschland,Germany,Thüringen,Thuringia,Freistaat,Free State,Erfurt,,DE-TH,"<img src=""gaz-deu-subdivision-th.svg"" />",gaz-deu-subdivision-th.svg
