#separator:Comma
#columns:sort_key,country_code,country_native,country_english,subdivision_native,subdivision_english,subdivision_type_native,subdivision_type_english,capital_native,capital_english,subdivision_code,map_image,map_filename,map_source
FRA_01_SUB1_001,FRA,France,France,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alps,Région,Region,Lyon,,FR-ARA,"<img src=""gaz-fra-subdivision-ara.svg"" />",gaz-fra-subdivision-ara.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_002,FRA,France,France,Bourgogne-Franche-Comté,Burgundy-Free County,Région,Region,Dijon,,FR-BFC,"<img src=""gaz-fra-subdivision-bfc.svg"" />",gaz-fra-subdivision-bfc.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_003,FRA,France,France,Bretagne,Brittany,Région,Region,Rennes,,FR-BRE,"<img src=""gaz-fra-subdivision-bre.svg"" />",gaz-fra-subdivision-bre.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_004,FRA,France,France,Centre-Val de Loire,Centre-Loire Valley,Région,Region,Orléans,,FR-CVL,"<img src=""gaz-fra-subdivision-cvl.svg"" />",gaz-fra-subdivision-cvl.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_005,FRA,France,France,Corse,Corsica,Collectivité de Corse,Collectivity of Corsica,Ajaccio,,FR-20R,"<img src=""gaz-fra-subdivision-20r.svg"" />",gaz-fra-subdivision-20r.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_006,FRA,France,France,Grand Est,,Région,Region,Strasbourg,,FR-GES,"<img src=""gaz-fra-subdivision-ges.svg"" />",gaz-fra-subdivision-ges.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_007,FRA,France,France,Hauts-de-France,,Région,Region,Lille,,FR-HDF,"<img src=""gaz-fra-subdivision-hdf.svg"" />",gaz-fra-subdivision-hdf.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_008,FRA,France,France,Île-de-France,,Région,Region,Paris,,FR-IDF,"<img src=""gaz-fra-subdivision-idf.svg"" />",gaz-fra-subdivision-idf.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_009,FRA,France,France,Normandie,Normandy,Région,Region,Rouen,,FR-NOR,"<img src=""gaz-fra-subdivision-nor.svg"" />",gaz-fra-subdivision-nor.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_010,FRA,France,France,Nouvelle-Aquitaine,New Aquitaine,Région,Region,Bordeaux,,FR-NAQ,"<img src=""gaz-fra-subdivision-naq.svg"" />",gaz-fra-subdivision-naq.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_011,FRA,France,France,Occitanie,Occitania,Région,Region,Toulouse,,FR-OCC,"<img src=""gaz-fra-subdivision-occ.svg"" />",gaz-fra-subdivision-occ.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_012,FRA,France,France,Pays de la Loire,,Région,Region,Nantes,,FR-PDL,"<img src=""gaz-fra-subdivision-pdl.svg"" />",gaz-fra-subdivision-pdl.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_013,FRA,France,France,Provence-Alpes-Côte d'Azur,,Région,Region,Marseille,,FR-PAC,"<img src=""gaz-fra-subdivision-pac.svg"" />",gaz-fra-subdivision-pac.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_014,FRA,France,France,Guyane,French Guiana,Collectivité territoriale unique,Single territorial collectivity,Cayenne,,FR-GF,"<img src=""gaz-fra-subdivision-gf.svg"" />",gaz-fra-subdivision-gf.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_015,FRA,France,France,Guadeloupe,,Région et département d'outre-mer,Overseas region and department,Basse-Terre,,FR-GP,"<img src=""gaz-fra-subdivision-gp.svg"" />",gaz-fra-subdivision-gp.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_016,FRA,France,France,Martinique,,Collectivité territoriale unique,Single territorial collectivity,Fort-de-France,,FR-MQ,"<img src=""gaz-fra-subdivision-mq.svg"" />",gaz-fra-subdivision-mq.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_017,FRA,France,France,La Réunion,Réunion,Région et département d'outre-mer,Overseas region and department,Saint-Denis,,FR-RE,"<img src=""gaz-fra-subdivision-re.svg"" />",gaz-fra-subdivision-re.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
FRA_01_SUB1_018,FRA,France,France,Mayotte,,Département et région d'outre-mer,Overseas department and region,Mamoudzou,,FR-YT,"<img src=""gaz-fra-subdivision-yt.svg"" />",gaz-fra-subdivision-yt.svg,https://commons.wikimedia.org/wiki/File:France_r%C3%A9gionale.svg
